accompanier	accompany-01	ARG0	ARG1
age	age-01	ARG1	ARG2
cause	cause-01	ARG1	ARG0
concession	have-concession-91	ARG1	ARG2
condition	have-condition-91	ARG1	ARG2
cost	cost-01	ARG1	ARG2
degree	have-degree-92	ARG1	ARG2
destination	be-destined-for-91	ARG1	ARG2
domain	have-mod-91	ARG2	ARG1
duration	last-01	ARG1	ARG2
employed-by	have-org-role-91	ARG0	ARG1
example	exemplify-01	ARG0	ARG1
extent	have-extent-91	ARG1	ARG2
frequency	have-frequency-91	ARG1	ARG2
instrument	have-instrument-91	ARG1	ARG2
li	have-li-91	ARG1	ARG2
location	be-located-at-91	ARG1	ARG2
manner	have-manner-91	ARG1	ARG2
meaning	mean-01	ARG1	ARG2
mod	have-mod-91	ARG1	ARG2
name	have-name-91	ARG1	ARG2
ord	have-ord-91	ARG1	ARG2
part	have-part-91	ARG1	ARG2
polarity	have-polarity-91	ARG1	ARG2
purpose	have-purpose-91	ARG1	ARG2
quant	have-quant-91	ARG1	ARG2
role	have-org-role-91	ARG0	ARG2
source	be-from-91	ARG1	ARG2
subevent	have-subevent-91	ARG1	ARG2
subset	include-91	ARG2	ARG1
superset	include-91	ARG1	ARG2
time	be-temporally-at-91	ARG1	ARG2
topic	concern-02	ARG0	ARG1
value	have-value-91	ARG1	ARG2
